dbn,school_name,postcode,state_code,NYCBorough
30Q258,Energy Tech High School,11106,NY,QUEENS
30Q286,"Young Women's Leadership School, Astoria (TYWLS)",11102,NY,QUEENS
30Q301,Academy for Careers in Television and Film (ACTV),11101,NY,QUEENS
30Q445,William Cullen Bryant High School,11103,NY,QUEENS
30Q450,Long Island City High School,11106,NY,QUEENS
30Q501,Frank Sinatra School of the Arts High School,11106,NY,QUEENS
30Q502,Information Technology High School,11101,NY,QUEENS
30Q555,Newcomers High School,11101,NY,QUEENS
30Q575,Academy of American Studies,11101,NY,QUEENS
30Q580,Baccalaureate School for Global Education,11106,NY,QUEENS
31R028,"Eagle Academy for Young Men of Staten Island, The",10304,NY,STATEN IS
31R047,CSI High School for International Studies,10314,NY,STATEN IS
31R064,Gaynor McCown Expeditionary Learning School,10314,NY,STATEN IS
31R080,"Michael J. Petrides School, The",10301,NY,STATEN IS
31R440,New Dorp High School,10306,NY,STATEN IS
31R445,Port Richmond High School,10302,NY,STATEN IS
31R450,Curtis High School,10301,NY,STATEN IS
31R455,Tottenville High School,10312,NY,STATEN IS
31R460,Susan E. Wagner High School,10314,NY,STATEN IS
31R600,Ralph R. McKee Career and Technical Education High School,10301,NY,STATEN IS
31R605,Staten Island Technical High School,10306,NY,STATEN IS
32K168,"Brooklyn School for Math and Research, The",11237,NY,BROOKLYN
32K403,Academy for Excellence in Leadership,11237,NY,BROOKLYN
32K545,EBC High School for Public Service - Bushwick,11221,NY,BROOKLYN
32K549,"Brooklyn School for Social Justice, The",11237,NY,BROOKLYN
32K552,"Academy of Urban Planning and Engineering, The",11237,NY,BROOKLYN
32K554,All City Leadership Secondary School,11237,NY,BROOKLYN
32K556,Bushwick Leaders High School for Academic Excellence,11221,NY,BROOKLYN
